transaction_id,transaction_date,member_id,member_first_name,member_last_name,member_email,member_tier,member_join_date,member_city,member_state,store_name,store_city,store_state,store_region,book_id,isbn,title,genre,format,author_first,author_last,publisher_name,publisher_city,publisher_country,publication_year,list_price,quantity,discount_percent,sale_total
1,2019-10-05,260,Casey,Jackson,casey.jackson260@email.com,Platinum,2018-12-09,New York,WA,Prairie Lights,Iowa City,IA,Midwest,182,978-529-93748-89-7,The Long Road Vol. 6,Biography,Paperback,Celeste,Ng,Macmillan Publishers,New York,USA,2006,19.23,3,20,46.14
2,2019-12-22,292,Marcus,Walker,marcus.walker292@email.com,Platinum,2020-06-11,Portland,CO,Powell's Books,Portland,OR,Pacific,226,978-119-67807-50-6,The Lost Century Vol. 2,History,Hardcover,Erik,Larson,Hachette Book Group,New York,USA,2008,28.46,1,0,28.46
3,2019-03-09,30,Bailey,Anderson,bailey.anderson30@email.com,Bronze,2018-05-26,Austin,TX,BookPeople,Austin,TX,South,215,978-578-75373-49-7,Empire Rising Vol. 7,History,Paperback,Isabel,Allende,Scholastic,New York,USA,2020,34.94,1,5,33.19
4,2020-02-12,185,Ethan,King,ethan.king185@email.com,Bronze,2018-01-05,Portland,CA,Left Bank Books,St. Louis,MO,Midwest,236,978-856-14888-32-6,Turning Points Vol. 4,History,Hardcover,Jhumpa,Lahiri,Penguin Random House,New York,USA,2012,31.17,2,0,62.34
5,2021-03-23,238,Kenji,Scott,kenji.scott238@email.com,Gold,2022-10-28,Coral Gables,OR,Malaprop's Bookstore,Asheville,NC,South,211,978-161-30719-66-6,Empire Rising Vol. 3,History,Audiobook,N.K.,Jemisin,Hachette Book Group,New York,USA,2007,19.1,1,15,16.23
6,2021-02-01,16,Hector,Green,hector.green16@email.com,Gold,2023-03-16,Coral Gables,FL,BookPeople,Austin,TX,South,175,978-936-36174-87-2,Against All Odds Vol. 7,Biography,Audiobook,Patrick,Rothfuss,Macmillan Publishers,New York,USA,2018,26.09,3,5,74.37
7,2022-04-16,91,Ethan,Walker,ethan.walker91@email.com,Silver,2018-05-25,Cambridge,CA,Elliot Bay Book Co,Seattle,WA,Pacific,115,978-923-70981-46-8,First Contact Vol. 3,Science Fiction,Audiobook,Ocean,Vuong,Macmillan Publishers,New York,USA,2005,17.67,2,10,31.8
8,2023-03-14,84,Kenji,White,kenji.white84@email.com,Silver,2022-04-20,Cambridge,CA,Harvard Book Store,Cambridge,MA,Northeast,89,978-518-69048-98-9,The Outer Reaches,Science Fiction,Paperback,Colson,Whitehead,Hachette Book Group,New York,USA,2010,27.76,3,20,66.63
9,2021-03-02,146,Alex,Davis,alex.davis146@email.com,Gold,2020-07-19,Menlo Park,MA,Powell's Books,Portland,OR,Pacific,24,978-789-95649-92-1,A Thousand Tomorrows Vol. 8,Fiction,eBook,Zadie,Smith,Bloomsbury,London,UK,2019,23.39,1,0,23.39
10,2023-10-22,293,Iris,Jackson,iris.jackson293@email.com,Platinum,2016-08-12,Portland,IA,BookPeople,Austin,TX,South,219,978-386-91689-97-9,When Nations Fall Vol. 3,History,Hardcover,Roxane,Gay,Macmillan Publishers,New York,USA,2019,22.13,3,0,66.39
